position_mm,Al,Si,Cl,Ca,Sc,Ti,Mn,Fe,Cu,As,Se,Sr,Y,Cd,Sb
23.0,420,974,1526,4244180,2909,230,1924,590,4797,1056,1940,1368,464,2133,1678
23.200000000000003,396,791,1630,4268912,1914,423,2291,623,4902,1193,1967,1442,516,2133,4504
23.4,364,812,1633,4293168,2902,334,1989,422,4869,1423,2053,1475,563,2065,1996
23.6,374,706,1537,4261236,2035,192,1778,434,4828,957,2078,1457,366,2020,3531
23.799999999999997,415,840,1899,4236778,2007,404,1581,905,4498,1260,2213,1332,426,2215,2497
24.0,351,811,1848,4227517,1829,411,1882,715,4602,1077,1907,1294,529,2095,2904
24.200000000000003,410,851,1547,4218522,2927,236,1941,502,4634,1372,2340,1294,374,2143,5041
24.4,324,773,1828,4236440,1671,784,1954,620,4472,1636,2290,1247,522,2105,1880
24.6,333,976,1787,4239276,2468,591,2265,608,4482,1451,2012,1336,473,2107,2681
24.799999999999997,347,853,1658,4204342,2034,301,2439,496,4698,1132,1986,1360,538,2019,3916
25.0,424,952,1836,4309244,2446,221,2833,437,4491,1212,2130,1425,568,2025,3774
25.200000000000003,331,936,1656,4200679,3152,218,1625,595,4294,637,1941,1385,465,2155,3202
25.4,409,996,1790,4294201,3277,243,1779,463,4498,931,1966,1368,340,2321,4824
25.6,444,1049,2000,4280848,2786,378,1813,639,4660,1084,1767,1395,450,2134,3293
25.799999999999997,334,903,1922,4273356,2258,442,2186,650,4939,843,1934,1352,439,2124,3645
26.0,381,899,2104,4326752,3635,262,1923,654,4839,1020,2265,1389,517,2098,3140
26.200000000000003,375,956,2158,4176429,1873,380,1124,828,4661,870,1856,1377,418,2243,2568
26.4,404,917,2025,4271111,2327,385,965,723,4484,947,1694,1205,562,2091,5871
26.6,488,960,1999,4331483,1527,481,1186,663,4550,979,1844,1363,622,2210,3756
26.799999999999997,427,894,2115,4290102,3178,491,1059,803,4325,741,1955,1436,488,2170,3102
27.0,303,829,2208,4217216,2801,788,1183,750,4356,949,1933,1539,389,2143,4382
27.200000000000003,444,980,2236,4256689,2312,705,1429,779,4553,1202,1603,1520,301,1991,6051
27.4,308,945,2325,4256452,2831,377,1869,800,4455,915,1746,1311,337,2014,4622
27.6,337,752,2240,4258529,2678,385,2178,586,4497,968,1679,1222,500,2183,3249
27.799999999999997,378,891,2193,4206089,2596,413,1384,633,4239,826,1457,1549,363,2135,4602
28.0,416,853,2194,4133521,2322,581,1478,930,4168,513,1983,1429,405,2208,4510
28.200000000000003,406,787,2174,4202480,2301,621,1648,633,4311,1011,1929,1243,370,2100,3625
28.4,368,685,1883,4216022,3406,283,1499,555,4378,999,1697,1275,276,1981,3429
28.6,338,758,2098,4250393,2401,433,1735,642,4526,848,1800,1365,342,2186,1731
28.799999999999997,401,797,2475,4179724,2675,482,1713,505,4077,982,1694,1211,401,2124,2551
29.0,454,744,2573,4242460,3188,372,1975,652,4410,884,1897,1271,481,2239,2633
29.200000000000003,334,780,2143,4126084,2305,342,1874,640,4085,317,1555,1279,388,2102,3102
29.4,418,743,2418,4147891,2884,358,1876,627,4113,799,1710,1341,422,2247,1983
29.6,572,785,2430,4248579,3119,316,1710,544,4457,919,1769,1318,466,2137,3098
29.799999999999997,393,773,2592,4259084,2952,602,1908,499,4192,435,1766,1242,320,2221,3648
30.0,353,657,2486,4306888,2448,1187,1814,393,4431,1046,1646,1266,485,2202,2954
30.200000000000003,322,724,2236,4248677,2241,823,1746,488,4242,831,1461,1505,686,2137,3804
30.4,355,809,2319,4247566,2148,689,1962,778,4163,831,1578,1223,290,2158,3157
30.6,364,837,2561,4236267,2511,544,2170,619,4217,933,1528,1357,509,2175,1851
30.799999999999997,341,836,2624,4277355,3480,627,1355,662,4376,710,1565,1137,334,2132,1859
31.0,348,740,2621,4224554,2988,272,1101,339,4460,623,1622,1167,416,2157,3548
31.200000000000003,372,618,2355,4299747,1881,246,1263,510,4459,413,1704,1330,391,2205,2964
31.4,385,632,2267,4163785,2465,275,1227,300,4253,722,1618,1162,378,2240,2318
31.6,385,766,2476,4252041,2877,334,1879,1077,4367,515,1523,1241,362,2137,1276
31.799999999999997,382,723,2278,4213417,3661,310,2016,1326,4348,702,1674,1392,290,2171,2758
32.0,419,719,2339,4267748,2855,368,1747,714,4282,703,1695,1313,561,2185,3947
